                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.72596,                 1.2971,                0.23698,                0.61791,                  1.171,                 0.8305,                   0.86,                0.86005,                0.46605,                0.73587,                   0.76,                0.65163,                0.64848,                 0.7767,                 2.0928,                0.03887,                 1.8231,                 1.5206,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.7523,                 1.2607,                 0.2334,                 0.6088,                 1.1886,                0.92936,                   0.93,                0.91262,                0.44469,                 0.8029,                    0.8,                0.67524,                0.66981,                 1.3829,                 2.1258,                0.04952,                 1.9205,                 2.2005,              0.0010298,              0.0010298,              0.0010298
                     51,                0.71472,                 1.1367,                0.23722,                0.62478,                 1.1591,                0.87308,                   0.88,                0.86478,                0.45416,                0.77249,                   0.78,                0.67111,                0.66965,                0.86976,                 2.0788,                0.03241,                 2.2433,                 1.6462,                0.00101,                0.00101,                0.00101
                     52,                0.70518,                 1.3151,                0.24891,                0.60347,                 1.1478,                0.87278,                   0.89,                0.87039,                0.47417,                0.78574,                    0.8,                0.67722,                0.67417,                0.83482,                 2.0697,                0.03429,                 2.1169,                 1.6313,              0.0009902,              0.0009902,              0.0009902
                     53,                0.71372,                 1.3055,                0.23359,                0.64015,                 1.1706,                 0.8637,                   0.89,                0.86039,                0.47476,                0.77587,                    0.8,                0.66425,                0.66113,                0.88332,                 2.0775,                0.02996,                 2.5347,                 1.7067,              0.0009704,              0.0009704,              0.0009704
                     54,                0.70588,                 1.2053,                0.23433,                0.62359,                 1.1596,                0.90179,                   0.89,                0.89296,                0.46049,                 0.7898,                0.78908,                0.67296,                0.66884,                 1.1502,                 2.0699,                0.03238,                 2.0052,                 2.0423,              0.0009506,              0.0009506,              0.0009506
                     55,                0.72618,                 1.2027,                0.24563,                0.60976,                 1.1647,                0.87683,                0.85426,                0.84661,                0.44783,                0.78545,                0.76882,                0.65952,                0.65652,                0.95541,                 2.0555,                0.03828,                  2.375,                 1.7868,              0.0009308,              0.0009308,              0.0009308
                     56,                0.70701,                 1.1982,                0.22338,                0.58863,                 1.1487,                0.87895,                    0.9,                0.86674,                0.47619,                0.78252,                    0.8,                0.67487,                 0.6719,                0.93583,                 2.0583,                0.02726,                 2.4418,                 1.8486,               0.000911,               0.000911,               0.000911
                     57,                0.69037,                 1.0475,                0.22238,                0.58725,                 1.1467,                0.87823,                    0.9,                0.86921,                0.42513,                0.77008,                   0.79,                0.65066,                0.64752,                 1.0763,                 2.0683,                0.03176,                 2.1798,                 2.0149,              0.0008912,              0.0008912,              0.0008912
                     58,                0.70793,                 1.3017,                0.23624,                0.59594,                 1.1656,                0.85851,                    0.9,                0.87156,                0.45017,                 0.7529,                   0.79,                0.65338,                0.65116,                 1.0859,                 2.0671,                0.03502,                  2.088,                 2.0095,              0.0008714,              0.0008714,              0.0008714
                     59,                0.68565,                 1.2745,                0.22912,                0.58838,                 1.1392,                0.87228,                   0.89,                 0.8586,                0.46166,                0.78346,                    0.8,                 0.6716,                 0.6686,                0.80543,                 2.0639,                0.04085,                 2.3447,                 1.5405,              0.0008516,              0.0008516,              0.0008516
                     60,                0.68891,                 1.0455,                 0.2196,                 0.6031,                 1.1442,                0.87266,                   0.89,                0.86726,                0.47534,                0.77503,                0.79239,                0.66561,                0.66195,                0.58175,                 2.0835,                0.04378,                 2.3254,                 1.3299,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70168,                  1.081,                0.23671,                0.60327,                 1.1563,                0.84294,                0.91244,                0.88525,                0.48791,                0.72284,                0.78244,                0.65139,                0.64942,                0.66921,                 2.0676,                0.03295,                 1.9525,                  1.402,               0.000812,               0.000812,               0.000812
                     62,                0.68777,                 1.1713,                0.23704,                 0.6011,                 1.1427,                 0.8684,                0.92383,                0.88979,                0.51536,                0.75162,                    0.8,                0.67111,                0.66774,                0.55339,                 2.1088,                0.03151,                  1.353,                   1.24,              0.0007922,              0.0007922,              0.0007922
                     63,                  0.701,                 1.1996,                0.22007,                0.59983,                 1.1446,                0.88539,                   0.88,                0.85784,                0.49585,                0.79051,                   0.79,                0.67855,                0.67673,                0.58984,                 2.0865,                0.03954,                 2.3913,                 1.3688,              0.0007724,              0.0007724,              0.0007724
                     64,                0.67699,                 1.2227,                0.24103,                0.59434,                 1.1404,                0.92788,                   0.93,                0.91318,                0.50873,                0.79772,                    0.8,                0.67719,                0.67431,                0.81442,                 2.0669,                0.03697,                 2.5432,                 1.6867,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68847,                  1.192,                0.23208,                0.61568,                 1.1342,                0.90879,                0.89675,                0.88156,                0.38878,                0.79285,                   0.78,                0.66902,                0.65815,                0.65559,                 2.0624,                 0.0289,                 2.3301,                 1.4895,              0.0007328,              0.0007328,              0.0007328
                     66,                0.68813,                 1.1765,                 0.2187,                0.59649,                 1.1366,                 0.9182,                   0.92,                0.89532,                0.45011,                0.79831,                    0.8,                 0.6732,                0.67101,                  1.318,                 2.0469,                0.03154,                 2.2284,                 2.3205,               0.000713,               0.000713,               0.000713
                     67,                0.67255,                 1.1651,                0.25089,                0.59372,                 1.1332,                0.90002,                   0.91,                0.88251,                0.46597,                0.79093,                    0.8,                0.66806,                0.66538,                0.81867,                 2.0705,                 0.0309,                 2.3272,                 1.6399,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67146,                 1.1088,                0.22581,                0.58416,                 1.1357,                 0.9009,                   0.92,                0.90328,                 0.4572,                0.78318,                    0.8,                0.66946,                0.66637,                 1.0307,                 2.0776,                0.03288,                 2.4045,                 1.8902,              0.0006734,              0.0006734,              0.0006734
                     69,                0.66872,                 1.0666,                 0.2321,                0.54874,                 1.1296,                0.91217,                0.93473,                0.94194,                0.53817,                0.78689,                   0.79,                0.67312,                0.67014,                0.60544,                 2.0726,                0.03101,                 1.6688,                 1.2863,              0.0006536,              0.0006536,              0.0006536
                     70,                0.66301,                 1.0518,                0.22195,                0.54459,                 1.1325,                0.89424,                    0.9,                0.87107,                0.49335,                0.79474,                    0.8,                0.67405,                0.67107,                0.81458,                 2.0643,                0.02565,                 2.4847,                 1.6469,              0.0006338,              0.0006338,              0.0006338
                     71,                0.66254,                 1.2152,                0.22274,                0.57919,                 1.1316,                0.90485,                    0.9,                0.88211,                0.46496,                0.79265,                   0.79,                 0.6759,                0.67301,                  1.138,                 2.0539,                0.03508,                   2.34,                 2.1153,               0.000614,               0.000614,               0.000614
                     72,                0.66891,                 1.1647,                0.23339,                0.56717,                 1.1407,                0.88939,                0.88451,                 0.8707,                0.43565,                 0.7991,                0.79554,                0.67589,                  0.673,                 1.4828,                 2.0428,                0.03696,                 2.0353,                 2.5213,              0.0005942,              0.0005942,              0.0005942
                     73,                0.65872,                  1.182,                 0.2173,                0.55802,                 1.1276,                0.89863,                0.88649,                0.86555,                0.51459,                 0.7979,                0.78963,                0.67135,                0.66842,                0.57363,                 2.0536,                0.02896,                 2.2045,                 1.3273,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.6493,                 1.0675,                0.22843,                0.57253,                 1.1219,                0.90098,                0.90985,                0.87964,                0.47285,                0.78892,                    0.8,                 0.6725,                0.66951,                0.62411,                 2.0708,                0.02907,                 2.7926,                 1.4239,              0.0005546,              0.0005546,              0.0005546
                     75,                0.65316,                0.94961,                0.21164,                0.54105,                 1.1177,                0.90897,                0.89865,                0.89266,                 0.4814,                0.79637,                 0.7822,                0.67469,                0.67172,                 0.6901,                 2.0823,                0.02928,                 2.5528,                 1.5121,              0.0005348,              0.0005348,              0.0005348
                     76,                0.64136,                 1.1196,                0.21453,                 0.5715,                 1.1126,                0.90915,                   0.91,                0.88064,                0.48779,                0.79686,                    0.8,                0.67489,                0.67199,                0.65422,                 2.0571,                0.02772,                 2.3206,                 1.3836,               0.000515,               0.000515,               0.000515
                     77,                0.63704,                 1.0765,                0.21686,                0.52973,                 1.1135,                0.89853,                   0.91,                0.88438,                0.48723,                0.78981,                    0.8,                0.67749,                0.67453,                 1.1604,                 2.0336,                0.03724,                 2.3146,                 2.2672,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63576,                 1.0881,                 0.2195,                0.51417,                 1.1119,                0.89482,                   0.94,                0.92646,                0.51429,                0.76101,                    0.8,                0.66041,                0.65807,                0.94711,                 2.0402,                0.03126,                 1.7628,                 1.7854,              0.0004754,              0.0004754,              0.0004754
                     79,                0.63879,                 1.0336,                0.22234,                0.53982,                 1.1089,                0.90637,                    0.9,                0.88503,                0.46347,                0.79488,                   0.79,                0.66955,                0.66661,                 1.0573,                 2.0467,                0.03498,                   2.13,                 1.9581,              0.0004556,              0.0004556,              0.0004556
                     80,                0.64397,                 1.0192,                0.22469,                0.53843,                 1.1121,                0.89271,                   0.91,                0.87722,                0.48351,                0.78337,                    0.8,                 0.6656,                0.66271,                0.59904,                 2.0497,                0.02787,                 2.2853,                 1.3905,              0.0004358,              0.0004358,              0.0004358
                     81,                0.62227,                 1.1461,                0.23582,                0.51109,                 1.1082,                 0.8556,                   0.87,                0.83968,                0.43575,                0.79104,                    0.8,                0.67433,                0.67157,                0.97678,                 2.0564,                0.02833,                 2.2848,                 1.9482,               0.000416,               0.000416,               0.000416
                     82,                0.62586,                 1.2963,                0.23464,                 0.5277,                 1.1148,                0.90054,                0.90541,                0.89957,                0.48871,                 0.7816,                0.78735,                0.66844,                0.66573,                0.81488,                 2.0378,                0.03019,                 2.1374,                 1.6847,              0.0003962,              0.0003962,              0.0003962
                     83,                0.62117,                  1.056,                0.21465,                 0.5452,                 1.1016,                0.86362,                 0.8866,                0.86487,                0.48265,                0.76483,                   0.79,                0.67217,                0.67088,                0.84073,                 2.0416,                0.02783,                 2.0288,                 1.7092,              0.0003764,              0.0003764,              0.0003764
                     84,                0.61454,                 1.0582,                0.22332,                0.51726,                 1.0932,                0.87934,                    0.9,                0.87334,                0.46645,                0.78124,                    0.8,                0.66567,                0.66429,                 1.1146,                 2.0358,                0.02746,                 1.8722,                 2.0974,              0.0003566,              0.0003566,              0.0003566
                     85,                0.61168,                 1.1523,                0.20499,                0.51418,                  1.093,                0.90458,                   0.91,                0.91777,                0.51179,                0.75512,                 0.7709,                 0.6568,                0.65518,                0.65304,                 2.0395,                0.03136,                 2.0692,                 1.7205,              0.0003368,              0.0003368,              0.0003368
