                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.70783,                  1.099,                0.22226,                0.53154,                 1.2993,                0.87148,                   0.89,                0.82133,                0.23722,                0.78596,                    0.8,                 0.6533,                0.65009,                 2.4796,                  1.794,                0.03267,                 1.3858,                 4.0155,               0.000911,               0.000911,               0.000911
                     57,                0.72167,                 1.2305,                0.22372,                0.53572,                  1.309,                0.80084,                   0.85,                0.77953,                0.27343,                0.75069,                   0.79,                0.63669,                0.63347,                 1.4806,                 1.8236,                0.03757,                 1.9791,                 2.6836,              0.0008912,              0.0008912,              0.0008912
                     58,                0.70673,                 1.2082,                0.24973,                0.52474,                 1.2931,                0.86309,                0.88258,                0.85248,                0.41843,                0.77603,                0.79696,                0.66904,                0.66594,                 1.2707,                 1.8267,                 0.0333,                 2.0771,                 2.4536,              0.0008714,              0.0008714,              0.0008714
                     59,                0.69409,                 1.0794,                0.23172,                0.53001,                 1.2831,                0.84642,                   0.89,                0.84195,                0.37045,                0.76059,                   0.79,                0.67029,                0.66736,                 1.8083,                 1.8177,                0.04255,                 1.7699,                 3.2323,              0.0008516,              0.0008516,              0.0008516
                     60,                0.68992,                 1.2141,                0.24271,                0.52384,                 1.2853,                0.89885,                   0.91,                0.89367,                0.34414,                0.78032,                   0.79,                0.67415,                0.67109,                 1.7199,                 1.8557,                0.04669,                  1.955,                 3.0587,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.6946,                 1.2487,                0.24362,                0.49765,                 1.2783,                0.87636,                   0.88,                0.85756,                0.37561,                0.78343,                   0.78,                0.66762,                0.66459,                 1.5125,                  1.818,                 0.0493,                 1.9719,                   2.77,               0.000812,               0.000812,               0.000812
                     62,                0.67942,                 1.1941,                0.23044,                0.51626,                 1.2772,                0.91993,                0.91907,                0.89317,                0.33971,                0.79848,                    0.8,                0.68202,                0.67935,                 2.3216,                 1.8011,                0.04363,                 1.6051,                 3.9036,              0.0007922,              0.0007922,              0.0007922
                     63,                0.67877,                 1.1201,                0.24754,                 0.5056,                  1.274,                0.87748,                   0.92,                0.88089,                0.40237,                0.77575,                   0.79,                0.67925,                0.67616,                  1.987,                  1.803,                0.03873,                 1.4572,                 3.4172,              0.0007724,              0.0007724,              0.0007724
                     64,                0.67552,                 1.2051,                0.22855,                0.48547,                 1.2673,                0.91594,                   0.92,                0.86948,                0.20994,                 0.7952,                    0.8,                0.67658,                0.67397,                 2.8715,                 1.7875,                0.03645,                 1.0952,                 4.8221,              0.0007526,              0.0007526,              0.0007526
                     65,                0.67556,                 1.2686,                0.23022,                0.49248,                 1.2732,                0.90294,                   0.88,                0.88231,                0.39039,                0.80402,                0.77948,                0.67927,                0.67646,                 1.9477,                 1.7975,                 0.0424,                 1.4734,                  3.333,              0.0007328,              0.0007328,              0.0007328
                     66,                0.68769,                 1.1854,                0.25524,                0.49406,                 1.2761,                 0.8241,                   0.86,                0.81401,                0.34387,                0.75859,                 0.7856,                0.66848,                0.66558,                 1.8095,                 1.8084,                0.05586,                 1.8362,                 3.1422,               0.000713,               0.000713,               0.000713
                     67,                0.67064,                 1.1365,                0.22895,                0.50238,                 1.2625,                0.91101,                   0.94,                0.92114,                0.40788,                0.78258,                    0.8,                0.68193,                0.67902,                 1.3407,                 1.8122,                0.03689,                 1.9287,                 2.4695,              0.0006932,              0.0006932,              0.0006932
                     68,                0.67101,                 1.2467,                 0.2386,                0.47559,                   1.27,                0.91324,                   0.91,                0.89836,                0.33579,                0.79224,                   0.79,                0.66541,                0.66257,                 2.2501,                  1.823,                0.03742,                 1.4885,                 3.7226,              0.0006734,              0.0006734,              0.0006734
                     69,                0.67043,                 1.1471,                0.23976,                 0.4744,                  1.262,                0.88856,                0.87712,                0.84323,                 0.2321,                0.78835,                0.78224,                0.65335,                0.65027,                 2.5026,                  1.795,                0.03116,                 1.2298,                 3.9586,              0.0006536,              0.0006536,              0.0006536
                     70,                0.66706,                 1.0206,                0.24036,                0.49312,                 1.2632,                0.83199,                0.84185,                 0.8131,                0.30519,                0.78925,                   0.78,                0.66784,                0.66481,                 2.1544,                 1.8161,                0.03193,                 1.5778,                 3.6898,              0.0006338,              0.0006338,              0.0006338
                     71,                0.66902,                 1.1352,                 0.2352,                0.49128,                  1.287,                0.89834,                   0.91,                0.88002,                0.29486,                0.78668,                    0.8,                  0.696,                0.69324,                 2.6553,                 1.7861,                0.03148,                 1.1237,                 4.2436,               0.000614,               0.000614,               0.000614
                     72,                0.64757,                   1.07,                0.23731,                0.48288,                 1.2546,                0.90839,                   0.91,                0.88655,                0.28769,                0.77614,                    0.8,                0.67213,                0.66928,                 2.7222,                 1.7906,                 0.0394,                 1.1769,                 4.2806,              0.0005942,              0.0005942,              0.0005942
                     73,                0.64612,                 1.0451,                0.22462,                0.46931,                 1.2401,                0.86018,                   0.87,                0.82965,                0.36259,                0.78059,                   0.79,                0.67594,                0.67008,                 2.0825,                 1.7994,                0.05088,                 1.5908,                 3.5708,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62569,                 1.0827,                0.22173,                0.45382,                  1.231,                0.88648,                   0.91,                0.89327,                0.34106,                0.76789,                0.79402,                0.67276,                0.66702,                 2.1397,                 1.8015,                0.04454,                 1.4283,                 3.7219,              0.0005546,              0.0005546,              0.0005546
                     75,                0.64784,                 1.1576,                0.22808,                0.46394,                 1.2398,                0.85225,                0.86524,                0.83303,                0.40472,                0.77509,                    0.8,                0.66833,                0.66539,                 1.7398,                 1.7989,                0.03382,                 1.7725,                 3.1254,              0.0005348,              0.0005348,              0.0005348
                     76,                0.64218,                 1.1565,                 0.2192,                0.46782,                 1.2373,                0.84644,                   0.85,                0.83664,                0.30529,                0.77546,                   0.78,                0.67028,                0.66742,                  2.273,                 1.8045,                0.03975,                 1.6141,                 4.1799,               0.000515,               0.000515,               0.000515
                     77,                0.61962,                  1.142,                0.25952,                0.44219,                 1.2292,                0.83079,                   0.85,                0.81094,                0.30727,                0.76884,                   0.79,                0.68288,                0.67989,                 2.4909,                 1.7864,                0.03969,                 1.3298,                  4.329,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63094,                 1.0584,                0.22514,                0.44179,                 1.2219,                0.88907,                   0.88,                0.87126,                 0.3153,                0.78609,                   0.78,                0.67558,                0.67269,                 2.4354,                 1.7801,                0.04047,                 1.4045,                 4.1822,              0.0004754,              0.0004754,              0.0004754
                     79,                0.62724,                 1.1837,                0.24042,                0.45607,                 1.2384,                0.86985,                0.86886,                0.85642,                0.32596,                0.78995,                0.78978,                0.68867,                 0.6858,                 2.3636,                 1.7842,                0.05618,                   1.36,                 4.0649,              0.0004556,              0.0004556,              0.0004556
                     80,                0.62848,                 1.0053,                 0.2349,                0.44541,                 1.2212,                0.86281,                   0.86,                0.82578,                0.28476,                0.79174,                   0.79,                0.69135,                0.68856,                 2.7147,                 1.7797,                0.03788,                 1.3515,                 4.6424,              0.0004358,              0.0004358,              0.0004358
                     81,                0.61336,                 1.1533,                0.23412,                0.45108,                 1.2168,                0.84424,                0.86723,                0.82319,                 0.4272,                0.77613,                0.79738,                0.67253,                0.67095,                 1.3583,                 1.8022,                0.03769,                 1.7542,                 2.5982,               0.000416,               0.000416,               0.000416
                     82,                0.60147,                  1.205,                0.23493,                0.44339,                 1.2111,                0.85415,                0.87847,                0.82824,                0.30005,                0.77644,                 0.7988,                0.67598,                0.67323,                 2.5212,                 1.7827,                0.03473,                 1.1699,                 4.4012,              0.0003962,              0.0003962,              0.0003962
                     83,                0.62142,                 1.1782,                0.22566,                0.43181,                 1.2208,                0.85615,                   0.84,                0.82227,                0.28307,                0.77411,                 0.7882,                0.68974,                0.68679,                  2.697,                 1.7747,                0.03285,                 1.1925,                 4.7848,              0.0003764,              0.0003764,              0.0003764
                     84,                0.60721,                 1.2074,                0.22845,                0.42716,                 1.2062,                0.90932,                0.90253,                0.91667,                0.31131,                0.78338,                0.79563,                0.68935,                0.68684,                 2.4454,                 1.7859,                0.04036,                 1.3454,                 4.2855,              0.0003566,              0.0003566,              0.0003566
                     85,                0.62551,                 1.1629,                0.22981,                0.43625,                  1.215,                0.84195,                   0.88,                0.83585,                0.34982,                0.75959,                   0.78,                0.68286,                0.67987,                 2.0739,                 1.8004,                0.04351,                 1.5725,                 3.7808,              0.0003368,              0.0003368,              0.0003368
                     86,                0.59893,                0.97222,                0.21877,                0.41592,                 1.2138,                0.80527,                   0.83,                0.76501,                0.29167,                 0.8032,                   0.78,                0.69372,                0.69084,                 2.4658,                 1.7838,                0.03533,                 1.3717,                 4.2696,               0.000317,               0.000317,               0.000317
                     87,                0.60336,                 1.1564,                0.21454,                0.41431,                  1.203,                0.88177,                   0.92,                0.87172,                0.35531,                0.79959,                0.79798,                0.68541,                0.68258,                 2.1956,                 1.7869,                0.04277,                 1.4076,                  4.074,              0.0002972,              0.0002972,              0.0002972
                     88,                0.59692,                 1.1329,                0.24794,                0.41929,                 1.2114,                0.81522,                   0.85,                0.78544,                0.32072,                 0.7853,                   0.79,                0.68302,                0.68025,                 2.2952,                 1.7848,                0.04926,                 1.4462,                  4.209,              0.0002774,              0.0002774,              0.0002774
                     89,                0.59061,                 1.0288,                0.23702,                0.41428,                 1.1957,                0.83704,                0.87322,                0.82713,                0.35365,                 0.7761,                0.79726,                0.68213,                0.67921,                 2.2362,                 1.7989,                0.04741,                 1.4633,                 4.1011,              0.0002576,              0.0002576,              0.0002576
                     90,                0.59005,                 1.1283,                0.23357,                0.41788,                 1.1952,                0.86189,                   0.89,                 0.8341,                0.34783,                0.77473,                    0.8,                0.67589,                0.67308,                 2.2929,                  1.781,                0.04408,                 1.3656,                 4.0515,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57764,                 1.0321,                0.22643,                0.41633,                 1.1962,                0.86364,                   0.87,                  0.822,                0.34166,                0.78408,                   0.79,                0.66742,                0.66455,                 2.1278,                 1.7907,                0.03798,                 1.5119,                 3.8797,               0.000218,               0.000218,               0.000218
                     92,                0.58834,                 1.1834,                0.23875,                0.41102,                 1.2042,                 0.8676,                   0.89,                 0.8331,                0.31284,                0.77986,                    0.8,                0.68069,                0.67776,                 2.4517,                 1.7767,                0.03736,                 1.3022,                 4.4475,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56961,                 1.0922,                0.23583,                0.41031,                 1.1799,                0.85114,                0.85764,                0.81094,                0.35873,                0.79126,                0.79607,                0.68487,                0.68197,                 2.1225,                 1.7793,                0.03513,                 1.3889,                 3.8523,              0.0001784,              0.0001784,              0.0001784
