                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.62804,                 1.1514,                0.24526,                0.47878,                 1.0763,                0.89906,                   0.92,                0.89653,                0.41979,                0.78167,                    0.8,                0.67937,                0.67666,                  1.371,                 2.0153,                0.04133,                 1.9692,                 2.5679,              0.0004952,              0.0004952,              0.0004952
                     78,                0.62631,                 1.0752,                0.22867,                0.46804,                 1.0998,                0.89073,                    0.9,                0.88189,                0.29467,                0.79132,                    0.8,                0.68817,                0.68508,                  2.044,                 1.9926,                0.03706,                 1.6825,                 3.4991,              0.0004754,              0.0004754,              0.0004754
                     79,                0.59155,                  1.159,                0.23977,                0.45682,                 1.0831,                0.91017,                0.91193,                0.91496,                0.53275,                0.78111,                0.78508,                0.71441,                0.71191,                 0.8755,                 2.0067,                0.02908,                 1.8707,                 1.8084,              0.0004556,              0.0004556,              0.0004556
                     80,                0.58681,                 1.1673,                0.24123,                0.46645,                 1.0791,                0.86274,                0.87998,                0.88308,                0.58548,                0.78225,                    0.8,                0.69561,                0.69303,                0.41952,                 2.0095,                 0.0283,                 1.7405,                 1.1272,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60727,                 1.1377,                0.21205,                0.47294,                 1.0903,                0.89614,                   0.91,                0.89375,                0.49358,                0.78715,                    0.8,                0.70856,                0.70638,                 1.0647,                 2.0022,                0.03171,                 1.8398,                  2.008,               0.000416,               0.000416,               0.000416
                     82,                0.61262,                 1.1312,                0.20344,                0.45411,                 1.0832,                0.89878,                   0.92,                0.91236,                0.51304,                0.76865,                   0.79,                0.70285,                0.70107,                0.86343,                 2.0207,                0.03057,                  1.996,                 1.7495,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60126,                0.98634,                0.20816,                0.46064,                 1.0787,                0.87802,                   0.91,                0.89629,                0.51485,                0.76027,                0.79285,                0.68706,                0.68506,                0.72352,                 1.9959,                0.02886,                 2.2603,                   1.58,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58635,                  1.266,                0.24072,                0.45468,                 1.0629,                0.90993,                0.90926,                 0.9028,                0.55337,                0.79946,                    0.8,                0.72682,                0.72498,                 0.6697,                 2.0072,                 0.0289,                 1.9954,                 1.5055,              0.0003566,              0.0003566,              0.0003566
                     85,                0.58258,                 1.2035,                0.21532,                0.45896,                 1.0655,                0.89074,                   0.91,                0.88683,                0.45492,                0.78284,                    0.8,                0.69482,                0.69166,                 1.1257,                 1.9991,                0.04006,                 2.2725,                 2.2524,              0.0003368,              0.0003368,              0.0003368
                     86,                0.58621,                 1.1456,                0.23424,                0.46501,                 1.0692,                0.90763,                    0.9,                0.90089,                0.48281,                0.77974,                   0.78,                0.68971,                0.68737,                0.93483,                 1.9935,                0.03613,                 2.3935,                 1.9022,               0.000317,               0.000317,               0.000317
                     87,                0.57831,                 1.0895,                0.21064,                 0.4421,                  1.068,                0.88315,                0.90701,                0.88629,                0.51285,                0.77647,                0.79897,                0.68969,                0.68711,                0.73938,                 2.0044,                0.03031,                 2.2152,                  1.654,              0.0002972,              0.0002972,              0.0002972
                     88,                0.56329,                 1.1531,                0.22287,                0.44888,                 1.0607,                0.87737,                   0.88,                0.87449,                0.49224,                0.78347,                0.79606,                0.69325,                0.69056,                 0.9053,                 1.9976,                0.03074,                 2.3913,                 1.8696,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58368,                 1.0182,                0.21347,                0.44454,                 1.0783,                0.89611,                    0.9,                0.89323,                0.51198,                0.79846,                   0.79,                 0.6898,                0.68699,                0.76931,                 2.0095,                0.02885,                 2.0273,                 1.7353,              0.0002576,              0.0002576,              0.0002576
                     90,                0.57436,                 1.1382,                0.21348,                0.43321,                 1.0679,                0.89989,                 0.8989,                0.88973,                0.48667,                0.78987,                   0.79,                0.68892,                0.68705,                0.94178,                 1.9945,                0.03046,                 2.3819,                 1.9439,              0.0002378,              0.0002378,              0.0002378
                     91,                0.58177,                 1.1781,                 0.2089,                0.42688,                 1.0713,                0.90975,                0.90727,                0.90636,                0.55153,                0.79951,                0.79755,                0.71076,                0.70876,                0.77381,                 2.0031,                0.02858,                 1.9387,                 1.6902,               0.000218,               0.000218,               0.000218
                     92,                0.56407,                 1.0103,                0.20184,                0.42624,                 1.0563,                0.89206,                0.90913,                0.89764,                0.49843,                0.78199,                    0.8,                0.71125,                 0.7083,                 1.2415,                 1.9832,                0.03007,                 2.0347,                 2.4149,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56564,                 1.0826,                0.23077,                0.42697,                 1.0634,                0.90588,                   0.91,                0.90002,                0.52247,                0.79422,                    0.8,                0.71268,                0.70979,                0.97106,                 1.9873,                0.02825,                 2.0039,                 1.9643,              0.0001784,              0.0001784,              0.0001784
